model,scenario,region,variable,unit,year,value
PyPSA-Eur,base_eu_regain,Montenegro,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00015765469193312095
PyPSA-Eur,base_eu_regain,Montenegro,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.004363535417244237
PyPSA-Eur,base_eu_regain,Montenegro,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.005806248822182802
PyPSA-Eur,base_eu_regain,Netherlands,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018235980372924022
PyPSA-Eur,base_eu_regain,Netherlands,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001727255363876857
PyPSA-Eur,base_eu_regain,Netherlands,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,49.28582479161786
PyPSA-Eur,base_eu_regain,Netherlands,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.22421889460759364
PyPSA-Eur,base_eu_regain,North Macedonia,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018261898793423692
PyPSA-Eur,base_eu_regain,North Macedonia,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016002778598602272
PyPSA-Eur,base_eu_regain,North Macedonia,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.18002617470960824
PyPSA-Eur,base_eu_regain,North Macedonia,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.17510449635886272
PyPSA-Eur,base_eu_regain,Norway,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018383104378053263
PyPSA-Eur,base_eu_regain,Norway,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001825013079446151
PyPSA-Eur,base_eu_regain,Norway,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,63.667149444826514
PyPSA-Eur,base_eu_regain,Norway,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.33738095011458175
PyPSA-Eur,base_eu_regain,Poland,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018258117302122782
PyPSA-Eur,base_eu_regain,Poland,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016572298851504107
PyPSA-Eur,base_eu_regain,Poland,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.7526490309524814
PyPSA-Eur,base_eu_regain,Poland,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,114.54253654203039
PyPSA-Eur,base_eu_regain,Portugal,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00019875429859508013
PyPSA-Eur,base_eu_regain,Portugal,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016462299787312808
PyPSA-Eur,base_eu_regain,Portugal,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.0007368289164972215
PyPSA-Eur,base_eu_regain,Portugal,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.0009151615868778913
PyPSA-Eur,base_eu_regain,Romania,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018238802858849197
PyPSA-Eur,base_eu_regain,Romania,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00015819906786834398
PyPSA-Eur,base_eu_regain,Romania,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,52.01060317737294
PyPSA-Eur,base_eu_regain,Romania,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.5472732204734507
PyPSA-Eur,base_eu_regain,Serbia,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018251148843710627
PyPSA-Eur,base_eu_regain,Serbia,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016559295078008034
PyPSA-Eur,base_eu_regain,Serbia,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.8551508908198833
PyPSA-Eur,base_eu_regain,Serbia,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.21611004235694037
PyPSA-Eur,base_eu_regain,Slovakia,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018247341557956883
PyPSA-Eur,base_eu_regain,Slovakia,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016605556765256267
PyPSA-Eur,base_eu_regain,Slovakia,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,27.943423747515162
PyPSA-Eur,base_eu_regain,Slovakia,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.3556148084755659
PyPSA-Eur,base_eu_regain,Slovenia,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018482236547001342
PyPSA-Eur,base_eu_regain,Slovenia,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00015960102664344948
PyPSA-Eur,base_eu_regain,Slovenia,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.0034205702174545803
PyPSA-Eur,base_eu_regain,Slovenia,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.004614407794531262
PyPSA-Eur,base_eu_regain,Spain,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.0003649071942220016
PyPSA-Eur,base_eu_regain,Spain,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0003418348369662919
